time,reference,output,control
0.707,1,0.839817,1.13342
0.708,1,0.84011,1.13251
0.709,1,0.840401,1.1316
0.71,1,0.840692,1.1307
0.711,1,0.840981,1.1298
0.712,1,0.841269,1.12891
0.713,1,0.841556,1.12802
0.714,1,0.841841,1.12713
0.715,1,0.842126,1.12625
0.716,1,0.842409,1.12538
0.717,1,0.842691,1.1245
0.718,1,0.842972,1.12363
0.719,1,0.843252,1.12277
0.72,1,0.84353,1.12191
0.721,1,0.843808,1.12105
0.722,1,0.844084,1.1202
0.723,1,0.844359,1.11935
0.724,1,0.844634,1.11851
0.725,1,0.844907,1.11767
0.726,1,0.845179,1.11683
0.727,1,0.845449,1.116
0.728,1,0.845719,1.11517
0.729,1,0.845988,1.11434
0.73,1,0.846255,1.11352
0.731,1,0.846522,1.1127
0.732,1,0.846787,1.11189
0.733,1,0.847051,1.11108
0.734,1,0.847315,1.11027
0.735,1,0.847577,1.10947
0.736,1,0.847838,1.10867
0.737,1,0.848098,1.10788
0.738,1,0.848357,1.10709
0.739,1,0.848615,1.1063
0.74,1,0.848872,1.10552
0.741,1,0.849128,1.10474
0.742,1,0.849382,1.10396
0.743,1,0.849636,1.10319
0.744,1,0.849889,1.10242
0.745,1,0.850141,1.10166
0.746,1,0.850392,1.10089
0.747,1,0.850641,1.10014
0.748,1,0.85089,1.09938
0.749,1,0.851138,1.09863
0.75,1,0.851385,1.09788
0.751,1,0.85163,1.09714
0.752,1,0.851875,1.0964
0.753,1,0.852119,1.09566
0.754,1,0.852362,1.09493
0.755,1,0.852603,1.0942
0.756,1,0.852844,1.09347
0.757,1,0.853084,1.09275
0.758,1,0.853323,1.09203
0.759,1,0.853561,1.09131
0.76,1,0.853798,1.0906
0.761,1,0.854034,1.08989
0.762,1,0.854269,1.08919
0.763,1,0.854504,1.08848
0.764,1,0.854737,1.08778
0.765,1,0.854969,1.08709
0.766,1,0.855201,1.08639
0.767,1,0.855431,1.0857
0.768,1,0.855661,1.08502
0.769,1,0.85589,1.08434
0.77,1,0.856117,1.08366
0.771,1,0.856344,1.08298
0.772,1,0.85657,1.08231
0.773,1,0.856795,1.08163
0.774,1,0.857019,1.08097
0.775,1,0.857243,1.0803
0.776,1,0.857465,1.07964
0.777,1,0.857687,1.07898
0.778,1,0.857907,1.07833
0.779,1,0.858127,1.07768
0.78,1,0.858346,1.07703
0.781,1,0.858564,1.07638
0.782,1,0.858781,1.07574
0.783,1,0.858997,1.0751
0.784,1,0.859213,1.07447
0.785,1,0.859427,1.07383
0.786,1,0.859641,1.0732
0.787,1,0.859854,1.07258
0.788,1,0.860066,1.07195
0.789,1,0.860278,1.07133
0.79,1,0.860488,1.07071
0.791,1,0.860698,1.0701
0.792,1,0.860906,1.06948
0.793,1,0.861114,1.06887
0.794,1,0.861321,1.06827
0.795,1,0.861528,1.06766
0.796,1,0.861733,1.06706
0.797,1,0.861938,1.06646
0.798,1,0.862142,1.06587
0.799,1,0.862345,1.06528
0.8,1,0.862548,1.06469
0.801,1,0.862749,1.0641
0.802,1,0.86295,1.06351
0.803,1,0.86315,1.06293
0.804,1,0.863349,1.06235
0.805,1,0.863547,1.06178
0.806,1,0.863745,1.0612
0.807,1,0.863942,1.06063
0.808,1,0.864138,1.06007
0.809,1,0.864333,1.0595
0.81,1,0.864528,1.05894
0.811,1,0.864722,1.05838
0.812,1,0.864915,1.05782
0.813,1,0.865107,1.05727
0.814,1,0.865299,1.05672
0.815,1,0.86549,1.05617
0.816,1,0.86568,1.05562
0.817,1,0.865869,1.05508
0.818,1,0.866058,1.05453
0.819,1,0.866246,1.054
0.82,1,0.866433,1.05346
0.821,1,0.86662,1.05293
0.822,1,0.866805,1.05239
0.823,1,0.866991,1.05187
0.824,1,0.867175,1.05134
0.825,1,0.867359,1.05082
0.826,1,0.867541,1.05029
0.827,1,0.867724,1.04978
0.828,1,0.867905,1.04926
0.829,1,0.868086,1.04875
0.83,1,0.868266,1.04823
0.831,1,0.868446,1.04773
0.832,1,0.868624,1.04722
0.833,1,0.868803,1.04672
0.834,1,0.86898,1.04621
0.835,1,0.869157,1.04571
0.836,1,0.869333,1.04522
0.837,1,0.869508,1.04472
0.838,1,0.869683,1.04423
0.839,1,0.869857,1.04374
0.84,1,0.87003,1.04325
0.841,1,0.870203,1.04277
0.842,1,0.870375,1.04229
0.843,1,0.870547,1.04181
0.844,1,0.870717,1.04133
0.845,1,0.870887,1.04085
0.846,1,0.871057,1.04038
0.847,1,0.871226,1.03991
0.848,1,0.871394,1.03944
0.849,1,0.871562,1.03897
0.85,1,0.871729,1.03851
0.851,1,0.871895,1.03804
0.852,1,0.872061,1.03758
0.853,1,0.872226,1.03712
0.854,1,0.87239,1.03667
0.855,1,0.872554,1.03621
0.856,1,0.872717,1.03576
0.857,1,0.87288,1.03531
0.858,1,0.873042,1.03487
0.859,1,0.873203,1.03442
0.86,1,0.873364,1.03398
0.861,1,0.873524,1.03354
0.862,1,0.873684,1.0331
0.863,1,0.873843,1.03266
0.864,1,0.874001,1.03223
0.865,1,0.874159,1.0318
0.866,1,0.874316,1.03137
0.867,1,0.874473,1.03094
0.868,1,0.874629,1.03051
0.869,1,0.874784,1.03009
0.87,1,0.874939,1.02966
0.871,1,0.875093,1.02924
0.872,1,0.875247,1.02883
0.873,1,0.8754,1.02841
0.874,1,0.875553,1.028
0.875,1,0.875705,1.02758
0.876,1,0.875856,1.02717
0.877,1,0.876007,1.02677
0.878,1,0.876157,1.02636
0.879,1,0.876307,1.02595
0.88,1,0.876457,1.02555
0.881,1,0.876605,1.02515
0.882,1,0.876753,1.02475
0.883,1,0.876901,1.02436
0.884,1,0.877048,1.02396
0.885,1,0.877195,1.02357
0.886,1,0.877341,1.02318
0.887,1,0.877486,1.02279
0.888,1,0.877631,1.0224
0.889,1,0.877775,1.02202
0.89,1,0.877919,1.02163
0.891,1,0.878062,1.02125
0.892,1,0.878205,1.02087
0.893,1,0.878348,1.02049
0.894,1,0.878489,1.02012
0.895,1,0.878631,1.01974
0.896,1,0.878771,1.01937
0.897,1,0.878912,1.019
0.898,1,0.879051,1.01863
0.899,1,0.879191,1.01827
0.9,1,0.879329,1.0179
0.901,1,0.879467,1.01754
0.902,1,0.879605,1.01717
0.903,1,0.879742,1.01681
0.904,1,0.879879,1.01646
