time,reference,output,u_sat,u_unsat,integrator,disturbance
0.281,3,0.737003,2.95548,2.95548,-2.01803,0
0.282,3,0.739219,2.95348,2.95348,-2.01577,0
0.283,3,0.741432,2.95149,2.95149,-2.01351,0
0.284,3,0.74364,2.9495,2.9495,-2.01125,0
0.285,3,0.745843,2.94753,2.94753,-2.00899,0
0.286,3,0.748043,2.94557,2.94557,-2.00674,0
0.287,3,0.750239,2.94361,2.94361,-2.00449,0
0.288,3,0.75243,2.94167,2.94167,-2.00224,0
0.289,3,0.754618,2.93974,2.93974,-1.99999,0
0.29,3,0.756801,2.93781,2.93781,-1.99774,0
0.291,3,0.75898,2.9359,2.9359,-1.9955,0
0.292,3,0.761155,2.93399,2.93399,-1.99326,0
0.293,3,0.763326,2.9321,2.9321,-1.99102,0
0.294,3,0.765493,2.93021,2.93021,-1.98879,0
0.295,3,0.767656,2.92834,2.92834,-1.98655,0
0.296,3,0.769814,2.92647,2.92647,-1.98432,0
0.297,3,0.771969,2.92461,2.92461,-1.98209,0
0.298,3,0.77412,2.92276,2.92276,-1.97986,0
0.299,3,0.776267,2.92092,2.92092,-1.97763,0
0.3,3,0.77841,2.91909,2.91909,-1.97541,0
0.301,3,0.780548,2.91727,2.91727,-1.97319,0
0.302,3,0.782683,2.91546,2.91546,-1.97097,0
0.303,3,0.784814,2.91366,2.91366,-1.96875,0
0.304,3,0.786941,2.91187,2.91187,-1.96654,0
0.305,3,0.789064,2.91008,2.91008,-1.96432,0
0.306,3,0.791184,2.90831,2.90831,-1.96211,0
0.307,3,0.793299,2.90654,2.90654,-1.9599,0
0.308,3,0.795411,2.90478,2.90478,-1.9577,0
0.309,3,0.797518,2.90304,2.90304,-1.95549,0
0.31,3,0.799622,2.9013,2.9013,-1.95329,0
0.311,3,0.801722,2.89957,2.89957,-1.95109,0
0.312,3,0.803818,2.89784,2.89784,-1.94889,0
0.313,3,0.80591,2.89613,2.89613,-1.9467,0
0.314,3,0.807999,2.89443,2.89443,-1.9445,0
0.315,3,0.810084,2.89273,2.89273,-1.94231,0
0.316,3,0.812165,2.89104,2.89104,-1.94012,0
0.317,3,0.814242,2.88936,2.88936,-1.93793,0
0.318,3,0.816315,2.88769,2.88769,-1.93575,0
0.319,3,0.818385,2.88603,2.88603,-1.93356,0
0.32,3,0.820451,2.88438,2.88438,-1.93138,0
0.321,3,0.822513,2.88273,2.88273,-1.9292,0
0.322,3,0.824572,2.8811,2.8811,-1.92702,0
0.323,3,0.826627,2.87947,2.87947,-1.92485,0
0.324,3,0.828678,2.87785,2.87785,-1.92267,0
0.325,3,0.830725,2.87624,2.87624,-1.9205,0
0.326,3,0.832769,2.87464,2.87464,-1.91833,0
0.327,3,0.83481,2.87304,2.87304,-1.91617,0
0.328,3,0.836846,2.87146,2.87146,-1.914,0
0.329,3,0.838879,2.86988,2.86988,-1.91184,0
0.33,3,0.840909,2.86831,2.86831,-1.90968,0
0.331,3,0.842935,2.86674,2.86674,-1.90752,0
0.332,3,0.844957,2.86519,2.86519,-1.90536,0
0.333,3,0.846976,2.86364,2.86364,-1.90321,0
0.334,3,0.848991,2.86211,2.86211,-1.90105,0
0.335,3,0.851002,2.86058,2.86058,-1.8989,0
0.336,3,0.85301,2.85905,2.85905,-1.89675,0
0.337,3,0.855015,2.85754,2.85754,-1.89461,0
0.338,3,0.857016,2.85603,2.85603,-1.89246,0
0.339,3,0.859013,2.85453,2.85453,-1.89032,0
0.34,3,0.861007,2.85304,2.85304,-1.88818,0
0.341,3,0.862998,2.85156,2.85156,-1.88604,0
0.342,3,0.864985,2.85008,2.85008,-1.8839,0
0.343,3,0.866969,2.84861,2.84861,-1.88177,0
0.344,3,0.868949,2.84715,2.84715,-1.87963,0
0.345,3,0.870926,2.8457,2.8457,-1.8775,0
0.346,3,0.872899,2.84426,2.84426,-1.87537,0
0.347,3,0.874869,2.84282,2.84282,-1.87325,0
0.348,3,0.876835,2.84139,2.84139,-1.87112,0
0.349,3,0.878799,2.83997,2.83997,-1.869,0
0.35,3,0.880758,2.83855,2.83855,-1.86688,0
0.351,3,0.882715,2.83714,2.83714,-1.86476,0
0.352,3,0.884668,2.83574,2.83574,-1.86264,0
0.353,3,0.886617,2.83435,2.83435,-1.86052,0
0.354,3,0.888564,2.83296,2.83296,-1.85841,0
0.355,3,0.890507,2.83158,2.83158,-1.8563,0
0.356,3,0.892446,2.83021,2.83021,-1.85419,0
0.357,3,0.894383,2.82885,2.82885,-1.85208,0
0.358,3,0.896316,2.82749,2.82749,-1.84998,0
0.359,3,0.898246,2.82614,2.82614,-1.84787,0
0.36,3,0.900172,2.8248,2.8248,-1.84577,0
0.361,3,0.902096,2.82346,2.82346,-1.84367,0
0.362,3,0.904016,2.82214,2.82214,-1.84157,0
0.363,3,0.905932,2.82081,2.82081,-1.83948,0
0.364,3,0.907846,2.8195,2.8195,-1.83738,0
0.365,3,0.909756,2.81819,2.81819,-1.83529,0
0.366,3,0.911664,2.81689,2.81689,-1.8332,0
0.367,3,0.913567,2.8156,2.8156,-1.83111,0
0.368,3,0.915468,2.81431,2.81431,-1.82903,0
0.369,3,0.917366,2.81303,2.81303,-1.82694,0
0.37,3,0.91926,2.81176,2.81176,-1.82486,0
0.371,3,0.921151,2.81049,2.81049,-1.82278,0
0.372,3,0.923039,2.80923,2.80923,-1.8207,0
0.373,3,0.924924,2.80798,2.80798,-1.81862,0
0.374,3,0.926806,2.80673,2.80673,-1.81655,0
0.375,3,0.928685,2.8055,2.8055,-1.81447,0
0.376,3,0.93056,2.80426,2.80426,-1.8124,0
0.377,3,0.932433,2.80304,2.80304,-1.81033,0
0.378,3,0.934302,2.80182,2.80182,-1.80827,0
0.379,3,0.936169,2.8006,2.8006,-1.8062,0
0.38,3,0.938032,2.7994,2.7994,-1.80414,0
0.381,3,0.939892,2.7982,2.7982,-1.80207,0
0.382,3,0.941749,2.797,2.797,-1.80001,0
0.383,3,0.943603,2.79582,2.79582,-1.79796,0
0.384,3,0.945454,2.79464,2.79464,-1.7959,0
0.385,3,0.947302,2.79346,2.79346,-1.79385,0
0.386,3,0.949147,2.79229,2.79229,-1.79179,0
0.387,3,0.950989,2.79113,2.79113,-1.78974,0
0.388,3,0.952828,2.78998,2.78998,-1.78769,0
0.389,3,0.954664,2.78883,2.78883,-1.78565,0
