time,reference,output,control
0.708,1,0.669277,0.893181
0.709,1,0.669501,0.892793
0.71,1,0.669724,0.892408
0.711,1,0.669946,0.892024
0.712,1,0.670168,0.891642
0.713,1,0.670389,0.891263
0.714,1,0.670609,0.890885
0.715,1,0.670829,0.890509
0.716,1,0.671049,0.890136
0.717,1,0.671267,0.889764
0.718,1,0.671485,0.889395
0.719,1,0.671703,0.889027
0.72,1,0.67192,0.888661
0.721,1,0.672136,0.888298
0.722,1,0.672352,0.887936
0.723,1,0.672567,0.887576
0.724,1,0.672782,0.887218
0.725,1,0.672996,0.886862
0.726,1,0.67321,0.886508
0.727,1,0.673422,0.886156
0.728,1,0.673635,0.885805
0.729,1,0.673847,0.885457
0.73,1,0.674058,0.885111
0.731,1,0.674269,0.884766
0.732,1,0.674479,0.884423
0.733,1,0.674688,0.884082
0.734,1,0.674897,0.883743
0.735,1,0.675106,0.883406
0.736,1,0.675314,0.88307
0.737,1,0.675521,0.882737
0.738,1,0.675728,0.882405
0.739,1,0.675935,0.882075
0.74,1,0.67614,0.881747
0.741,1,0.676346,0.88142
0.742,1,0.67655,0.881095
0.743,1,0.676755,0.880772
0.744,1,0.676958,0.880451
0.745,1,0.677162,0.880132
0.746,1,0.677364,0.879814
0.747,1,0.677566,0.879498
0.748,1,0.677768,0.879184
0.749,1,0.677969,0.878872
0.75,1,0.67817,0.878561
0.751,1,0.67837,0.878252
0.752,1,0.678569,0.877944
0.753,1,0.678768,0.877639
0.754,1,0.678967,0.877335
0.755,1,0.679165,0.877032
0.756,1,0.679363,0.876732
0.757,1,0.67956,0.876433
0.758,1,0.679756,0.876135
0.759,1,0.679952,0.875839
0.76,1,0.680148,0.875545
0.761,1,0.680343,0.875253
0.762,1,0.680538,0.874962
0.763,1,0.680732,0.874673
0.764,1,0.680925,0.874385
0.765,1,0.681119,0.874099
0.766,1,0.681311,0.873814
0.767,1,0.681503,0.873531
0.768,1,0.681695,0.87325
0.769,1,0.681886,0.87297
0.77,1,0.682077,0.872692
0.771,1,0.682268,0.872415
0.772,1,0.682457,0.87214
0.773,1,0.682647,0.871867
0.774,1,0.682836,0.871595
0.775,1,0.683024,0.871324
0.776,1,0.683212,0.871055
0.777,1,0.6834,0.870788
0.778,1,0.683587,0.870522
0.779,1,0.683774,0.870257
0.78,1,0.68396,0.869994
0.781,1,0.684146,0.869733
0.782,1,0.684331,0.869472
0.783,1,0.684516,0.869214
0.784,1,0.6847,0.868957
0.785,1,0.684884,0.868701
0.786,1,0.685068,0.868447
0.787,1,0.685251,0.868194
0.788,1,0.685434,0.867943
0.789,1,0.685616,0.867693
0.79,1,0.685798,0.867444
0.791,1,0.685979,0.867197
0.792,1,0.68616,0.866951
0.793,1,0.686341,0.866707
0.794,1,0.686521,0.866464
0.795,1,0.686701,0.866223
0.796,1,0.68688,0.865982
0.797,1,0.687059,0.865744
0.798,1,0.687237,0.865506
0.799,1,0.687415,0.86527
0.8,1,0.687593,0.865035
0.801,1,0.68777,0.864802
0.802,1,0.687947,0.86457
0.803,1,0.688123,0.864339
0.804,1,0.688299,0.86411
0.805,1,0.688475,0.863882
0.806,1,0.68865,0.863655
0.807,1,0.688825,0.86343
